No.,Quantity,Designator,Footprint,Value
1,2,"BOOT,EN",KEY-SMD_L3.9-W3.0-LS5.0-EH,
2,10,"C1,C7,C9,C14,C15,C16,C17,C18,C20,C21",C0603,100nF
3,3,"C2,C4,C10",C0805,22uF
4,1,C3,C0603,22pF
5,1,C5,C0603,300pF
6,1,C6,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD-1,100uF
7,1,C8,C0603,22nF
8,1,C11,CASE-A_3216,22uF
9,1,C12,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,470uF
10,1,C13,C0805,10uF
11,1,C19,C0603,1uF
12,5,"CN1,CN2,CN3,CN4,FAN",CONN-TH_2P-P2.50_HX25003-2A,
13,1,D1,SMA_L4.3-W2.5-LS5.0-RD,
14,7,"D2,D3,D4,D5,D6,D7,D8",SOD-323_L1.6-W1.3-LS2.7-RD,
15,1,DC1,DC-IN-TH_DC-5520-1,
16,1,F1,F0603,
17,1,F2,F0603,
18,1,F3,F1206,
19,1,F4,F1206,
20,1,H1,HDR-TH_3P-P2.54-V-M,
21,2,"H2,H3",HDR-TH_1P-P2.54-V-M,
22,1,L1,IND-SMD_L7.1-W6.6,47uH
23,1,L2,IND-SMD_L4.5-W4.2,4.7uH
24,1,LED1,LED0603-RD_GREEN,
25,4,"Q1,Q2,Q5,Q6",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,
26,6,"Q4,Q7,Q10,Q11,Q12,Q13",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
27,13,"R1,R5,R10,R11,R14,R15,R20,R23,R24,R25,R30,R31,R32",R0603,10kΩ
28,1,R2,R1210,330mΩ
29,1,R3,R0603,15kΩ
30,1,R4,R0603,118kΩ
31,1,R6,R0603,1kΩ
32,3,"R7,R33,R34",R0603,3kΩ
33,1,R8,R0603,330kΩ
34,9,"R9,R12,R13,R17,R19,R21,R22,R27,R29",R0603,100kΩ
35,4,"R16,R18,R26,R28",R0603,220Ω
36,1,SW,HDR-TH_2P-P2.54-V-M,
37,2,"U1,U6",CONN-TH_DB301V-3.5-2P-GN,
38,1,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,
39,2,"U3,U9",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,
40,1,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,
41,1,U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,
42,2,"U7,U8",CONN-TH_3P-P2.54_2501S-3P,
43,1,U10,WIFI-SMD_ESP32-WROOM-32UE-A,
44,1,U11,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,
45,2,"U12,U13",WSOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,
46,1,USB1,USB-C-SMD_KH-TYPE-C-16P,
47,2,"X1,X2",OSC-SMD_3P-L4.5-W2.0,4MHz
,,,,
